0.00	232.42	0.00000000	268.6223	0.53856	0	72355.00000	0.002277
0.00	233.28	0.00000000	267.7907	0.35447	0	72348.33333	0.002272
0.00	245.12	0.00000000	268.0852	0.44737	0	72351.66667	0.002207
0.00	269.97	0.00000000	268.5267	0.23319	0	72333.33333	0.002383
0.49	283.85	0.00000000	272.0655	0.85519	0	72335.00000	0.002466
0.00	267.38	0.00000000	272.6453	1.34353	0	72335.00000	0.002514
0.00	260.83	0.00000000	272.1348	1.12748	0	72355.00000	0.002531
17.85	254.67	0.00000000	272.1690	1.38175	0	72388.33333	0.002449
170.32	275.20	0.00000000	273.8185	1.43204	0	72425.00000	0.002438
280.02	257.98	0.00000000	274.6475	1.77794	0	72425.00000	0.002312
404.97	257.35	0.00000000	274.7605	2.16549	0	72458.33333	0.002402
491.12	260.33	0.00000000	275.2582	2.06358	0	72460.00000	0.002340
544.03	266.37	0.00000000	276.7230	1.93104	0	72455.00000	0.002279
534.05	269.33	0.00000000	277.4143	1.76133	0	72448.33333	0.002035
512.28	270.62	0.00000000	278.0990	1.74174	0	72435.00000	0.001901
416.07	264.10	0.00000000	278.2523	2.12347	0	72445.00000	0.001742
299.90	264.95	0.00000000	278.4063	1.45513	0	72466.66667	0.001805
113.69	258.47	0.00000000	277.4737	1.43353	0	72480.00000	0.001617
7.05	251.75	0.00000000	275.5985	1.12145	0	72525.00000	0.001779
0.00	247.38	0.00000000	273.2753	0.75789	0	72570.00000	0.002095
0.00	239.25	0.00000000	270.8905	0.19690	0	72628.33333	0.002306
0.00	232.87	0.00000000	269.0442	0.35618	0	72653.33333	0.002539
0.00	230.25	0.00000000	267.9280	0.36788	0	72673.33333	0.002446
0.00	231.68	0.00000000	267.9552	0.37012	0	72703.33333	0.002374
0.51	275.83	0.00000000	268.1327	0.28854	0	72725.00000	0.002605
0.00	260.65	0.00000000	269.5727	0.32430	0	72701.66667	0.002575
0.00	254.83	0.00000000	268.6885	0.47836	0	72688.33333	0.002608
0.00	273.22	0.00000000	269.5050	0.37630	0	72651.66667	0.002622
0.47	292.00	0.00000000	270.5465	0.34799	0	72685.00000	0.002949
0.00	291.25	0.00000000	271.5335	0.49103	0	72705.00000	0.003529
0.00	280.35	0.00000000	271.5048	0.42063	0	72706.66667	0.003736
13.67	251.58	0.00000000	270.3753	0.14907	0	72740.00000	0.003534
121.85	260.90	0.00000000	272.7657	0.16688	0	72746.66667	0.003694
265.52	271.78	0.00000000	275.8305	0.56940	0	72726.66667	0.003176
315.32	286.20	0.00000000	278.8675	0.74604	0	72693.33333	0.002568
261.62	305.42	0.00000000	279.6687	1.37542	0	72670.00000	0.002121
188.78	317.67	0.00000000	279.8507	1.56629	0	72658.33333	0.002162
227.80	317.62	0.00000000	279.9518	2.07050	0	72641.66667	0.002322
176.13	315.50	0.00000000	279.6660	1.52502	0	72631.66667	0.002361
425.22	289.00	0.00000000	280.9838	1.92583	0	72631.66667	0.002571
294.42	281.68	0.00000000	280.7955	1.53641	0	72653.33333	0.002581
106.08	274.48	0.00000000	279.5872	0.88163	0	72636.66667	0.002537
6.39	264.23	0.00000000	277.5102	0.77480	0	72663.33333	0.002665
0.00	256.65	0.00000000	274.9740	0.50340	0	72718.33333	0.002748
0.00	254.00	0.00000000	273.1297	0.57745	0	72750.00000	0.002924
0.00	265.17	0.00000000	272.2798	0.53417	0	72773.33333	0.003025
0.00	263.95	0.00000000	272.8550	0.71080	0	72746.66667	0.003027
